date,open,high,low,close,volume
2015-02-02 09:15:00,71.59,72.8,71.59,72.36,346286
2015-02-02 09:30:00,72.36,72.36,71.88,72.12,93287
2015-02-02 09:45:00,72.12,72.22,71.93,72.12,55155
2015-02-02 10:00:00,72.12,72.32,72.07,72.27,40820
2015-02-02 10:15:00,72.27,72.36,71.74,71.98,57714
2015-02-02 10:30:00,71.98,72.17,71.74,71.93,53508
2015-02-02 10:45:00,71.93,72.03,71.74,71.83,30456
2015-02-02 11:00:00,71.83,72.07,71.83,72.07,39219
2015-02-02 11:15:00,72.07,72.41,72.03,72.32,96049
2015-02-02 11:30:00,72.32,72.32,72.12,72.22,50697
2015-02-02 11:45:00,72.22,72.32,72.12,72.32,60325
2015-02-02 12:00:00,72.32,73.18,72.32,73.18,227572
2015-02-02 12:15:00,73.13,73.18,72.6,72.8,197936
2015-02-02 12:30:00,72.8,73.09,72.8,72.89,173381
2015-02-02 12:45:00,72.89,72.94,72.7,72.85,62081
2015-02-02 13:00:00,72.85,72.89,72.7,72.89,35604
2015-02-02 13:15:00,72.89,72.94,72.75,72.89,52157
2015-02-02 13:30:00,72.89,73.04,72.7,72.7,135159
2015-02-02 13:45:00,72.7,72.85,72.56,72.8,233739
2015-02-02 14:00:00,72.8,72.8,72.7,72.8,278162
2015-02-02 14:15:00,72.8,72.89,72.7,72.75,276123
2015-02-02 14:30:00,72.7,73.42,72.65,73.13,426806
2015-02-02 14:45:00,73.13,73.13,72.7,72.85,156793
2015-02-02 15:00:00,72.85,73.09,72.7,72.75,246524
2015-02-02 15:15:00,72.75,72.89,72.6,72.8,552495
2015-02-03 09:15:00,73.33,73.62,72.94,73.42,138301
2015-02-03 09:30:00,73.47,73.52,73.23,73.28,94475
2015-02-03 09:45:00,73.28,73.66,73.23,73.57,82411
2015-02-03 10:00:00,73.57,73.81,73.57,73.66,74063
2015-02-03 10:15:00,73.66,73.66,73.38,73.57,60214
2015-02-03 10:30:00,73.57,73.66,73.52,73.57,69425
2015-02-03 10:45:00,73.57,73.66,73.47,73.57,53509
2015-02-03 11:00:00,73.57,73.81,73.33,73.52,92348
2015-02-03 11:15:00,73.47,73.81,73.38,73.76,91676
2015-02-03 11:30:00,73.76,73.81,73.66,73.81,43029
2015-02-03 11:45:00,73.81,73.81,73.13,73.23,271173
2015-02-03 12:00:00,73.18,73.66,73.18,73.47,149969
2015-02-03 12:15:00,73.47,73.66,73.42,73.57,114771
2015-02-03 12:30:00,73.57,73.66,73.33,73.47,571141
2015-02-03 12:45:00,73.52,73.57,73.42,73.47,63979
2015-02-03 13:00:00,73.47,73.66,73.47,73.66,56669
2015-02-03 13:15:00,73.66,73.66,73.47,73.47,69157
2015-02-03 13:30:00,73.47,73.57,73.47,73.47,148762
2015-02-03 13:45:00,73.47,73.66,73.18,73.47,1065466
2015-02-03 14:00:00,73.47,73.66,73.42,73.66,64630
2015-02-03 14:15:00,73.66,73.76,73.47,73.71,84393
2015-02-03 14:30:00,73.71,73.76,73.33,73.42,68845
2015-02-03 14:45:00,73.42,74.24,73.38,73.57,334536
2015-02-03 15:00:00,73.62,73.81,73.42,73.57,673028
2015-02-03 15:15:00,73.62,73.81,73.47,73.47,166261
2015-02-04 09:15:00,74.39,75.11,74.29,75.01,423574
2015-02-04 09:30:00,75.01,75.11,74.58,74.58,149235
2015-02-04 09:45:00,74.58,74.77,74.29,74.68,255934
2015-02-04 10:00:00,74.68,74.72,74.44,74.44,896412
2015-02-04 10:15:00,74.44,74.53,73.76,74.0,139184
2015-02-04 10:30:00,74.0,74.15,72.8,72.94,156473
2015-02-04 10:45:00,72.99,73.28,72.32,72.32,172576
2015-02-04 11:00:00,72.32,72.75,72.32,72.7,71331
2015-02-04 11:15:00,72.75,72.75,72.7,72.7,105833
2015-02-04 11:30:00,72.7,72.89,72.7,72.75,73157
2015-02-04 11:45:00,72.75,73.09,72.7,73.09,143281
2015-02-04 12:00:00,73.09,73.09,72.8,72.89,79109
2015-02-04 12:15:00,72.89,73.13,72.85,73.13,124612
2015-02-04 12:30:00,73.13,73.18,72.99,73.13,82445
2015-02-04 12:45:00,73.13,73.42,73.09,73.38,101384
2015-02-04 13:00:00,73.33,73.42,73.13,73.13,93400
2015-02-04 13:15:00,73.18,73.47,73.13,73.42,123437
2015-02-04 13:30:00,73.42,73.47,73.13,73.23,97321
2015-02-04 13:45:00,73.28,73.33,73.13,73.18,95596
2015-02-04 14:00:00,73.18,73.23,73.09,73.13,80776
2015-02-04 14:15:00,73.13,73.18,73.09,73.09,71774
2015-02-04 14:30:00,73.09,73.18,73.09,73.18,103388
2015-02-04 14:45:00,73.18,73.28,73.09,73.13,149018
2015-02-04 15:00:00,73.18,73.18,72.94,73.04,189555
2015-02-04 15:15:00,73.09,73.42,72.99,73.42,293195
2015-02-05 09:15:00,73.13,73.28,72.51,72.6,88874
2015-02-05 09:30:00,72.6,72.65,72.22,72.65,72831
2015-02-05 09:45:00,72.65,72.7,72.46,72.6,33792
2015-02-05 10:00:00,72.65,72.65,72.36,72.51,45351
2015-02-05 10:15:00,72.46,72.46,72.03,72.17,45022
2015-02-05 10:30:00,72.17,72.22,71.59,71.74,70075
2015-02-05 10:45:00,71.69,71.83,71.54,71.74,46001
2015-02-05 11:00:00,71.74,71.74,71.35,71.5,114717
2015-02-05 11:15:00,71.5,71.5,71.26,71.4,182738
2015-02-05 11:30:00,71.4,71.4,71.3,71.4,75695
2015-02-05 11:45:00,71.35,71.59,71.3,71.59,172814
2015-02-05 12:00:00,71.54,71.59,71.45,71.54,57432
2015-02-05 12:15:00,71.5,71.59,71.5,71.54,75717
2015-02-05 12:30:00,71.5,71.54,71.5,71.54,86519
2015-02-05 12:45:00,71.5,72.36,71.5,71.83,118245
2015-02-05 13:00:00,71.69,71.93,71.45,71.88,81460
2015-02-05 13:15:00,71.88,72.12,71.59,71.64,201937
2015-02-05 13:30:00,71.64,71.74,71.64,71.69,49937
2015-02-05 13:45:00,71.74,71.83,71.69,71.69,35360
2015-02-05 14:00:00,71.69,71.83,71.69,71.74,51489
2015-02-05 14:15:00,71.74,71.83,71.69,71.74,48842
2015-02-05 14:30:00,71.69,71.79,71.69,71.79,99117
2015-02-05 14:45:00,71.79,71.93,71.74,71.79,173623
2015-02-05 15:00:00,71.79,71.83,71.45,71.59,352462
2015-02-05 15:15:00,71.59,71.93,71.4,71.93,630844
2015-02-06 09:15:00,71.54,71.54,70.58,70.68,289020
2015-02-06 09:30:00,70.68,70.77,69.14,69.86,476840
2015-02-06 09:45:00,69.86,70.1,69.52,69.52,200192
2015-02-06 10:00:00,69.52,69.81,69.38,69.71,86969
2015-02-06 10:15:00,69.71,69.81,69.38,69.62,99136
2015-02-06 10:30:00,69.62,69.71,68.85,69.04,184262
2015-02-06 10:45:00,69.04,69.33,68.99,69.14,156795
2015-02-06 11:00:00,69.14,69.33,69.14,69.23,59255
2015-02-06 11:15:00,69.23,69.43,69.18,69.23,89865
2015-02-06 11:30:00,69.23,69.43,69.14,69.43,262243
2015-02-06 11:45:00,69.43,69.52,69.23,69.33,228899
2015-02-06 12:00:00,69.33,69.43,69.14,69.23,191704
2015-02-06 12:15:00,69.23,69.52,69.23,69.52,107030
2015-02-06 12:30:00,69.52,69.62,69.33,69.62,99694
2015-02-06 12:45:00,69.62,69.62,69.47,69.62,51447
2015-02-06 13:00:00,69.62,69.62,69.52,69.52,108529
2015-02-06 13:15:00,69.52,69.57,69.47,69.52,190472
2015-02-06 13:30:00,69.52,70.1,69.43,69.52,191823
2015-02-06 13:45:00,69.52,69.86,69.52,69.81,67002
2015-02-06 14:00:00,69.81,70.58,69.62,69.86,223042
