date,open,high,low,close,volume
2015-02-02 09:15:00,42.85,42.85,41.7,42.5,474072
2015-02-02 09:30:00,42.55,42.85,41.95,42.35,950256
2015-02-02 09:45:00,42.35,42.7,42.15,42.6,362742
2015-02-02 10:00:00,42.6,42.6,42.2,42.2,107940
2015-02-02 10:15:00,42.25,42.35,42.0,42.3,102936
2015-02-02 10:30:00,42.3,42.3,42.15,42.25,20088
2015-02-02 10:45:00,42.25,42.3,42.15,42.3,22980
2015-02-02 11:00:00,42.3,42.3,42.15,42.2,43242
2015-02-02 11:15:00,42.2,42.3,42.15,42.3,28566
2015-02-02 11:30:00,42.3,42.35,42.25,42.3,29148
2015-02-02 11:45:00,42.3,42.3,42.15,42.15,28902
2015-02-02 12:00:00,42.15,42.25,42.1,42.15,35700
2015-02-02 12:15:00,42.15,42.25,42.1,42.2,43206
2015-02-02 12:30:00,42.2,42.25,42.15,42.2,23046
2015-02-02 12:45:00,42.2,42.3,42.15,42.15,50100
2015-02-02 13:00:00,42.15,42.2,41.9,42.0,168012
2015-02-02 13:15:00,42.0,42.05,41.9,42.05,103782
2015-02-02 13:30:00,42.05,42.25,42.05,42.05,138864
2015-02-02 13:45:00,42.05,42.15,41.8,41.85,143382
2015-02-02 14:00:00,41.85,42.15,41.85,42.1,143928
2015-02-02 14:15:00,42.1,42.15,41.85,41.85,83364
2015-02-02 14:30:00,41.85,42.05,41.85,42.0,131742
2015-02-02 14:45:00,41.95,42.0,41.85,41.95,80268
2015-02-02 15:00:00,41.9,42.15,41.85,41.9,256674
2015-02-02 15:15:00,41.95,41.95,41.05,41.35,423096
2015-02-03 09:15:00,41.6,41.75,41.15,41.65,404484
2015-02-03 09:30:00,41.65,41.8,41.55,41.65,87762
2015-02-03 09:45:00,41.65,41.75,41.35,41.35,102498
2015-02-03 10:00:00,41.35,41.6,41.35,41.55,149820
2015-02-03 10:15:00,41.55,41.65,41.45,41.5,87510
2015-02-03 10:30:00,41.5,41.55,41.35,41.35,131892
2015-02-03 10:45:00,41.3,41.45,41.05,41.25,242754
2015-02-03 11:00:00,41.25,41.55,41.1,41.4,155982
2015-02-03 11:15:00,41.3,41.4,41.25,41.3,78810
2015-02-03 11:30:00,41.3,41.45,41.15,41.35,138114
2015-02-03 11:45:00,41.35,41.4,40.95,41.05,152598
2015-02-03 12:00:00,41.05,41.25,41.0,41.15,130722
2015-02-03 12:15:00,41.15,41.3,41.0,41.05,96972
2015-02-03 12:30:00,41.0,41.05,40.8,40.9,133764
2015-02-03 12:45:00,40.9,41.0,40.85,40.85,59106
2015-02-03 13:00:00,40.85,40.85,40.45,40.5,173100
2015-02-03 13:15:00,40.5,40.5,40.3,40.3,139806
2015-02-03 13:30:00,40.3,40.4,40.2,40.35,218718
2015-02-03 13:45:00,40.35,40.65,40.3,40.45,276576
2015-02-03 14:00:00,40.45,40.6,40.35,40.4,163452
2015-02-03 14:15:00,40.4,40.5,40.25,40.35,162684
2015-02-03 14:30:00,40.3,40.45,40.25,40.35,202356
2015-02-03 14:45:00,40.35,40.4,40.2,40.3,177312
