date,open,high,low,close,volume
2015-02-02 09:15:00,211.6,212.75,211.45,211.75,718891
2015-02-02 09:30:00,211.75,212.15,210.45,210.8,355005
2015-02-02 09:45:00,210.8,211.25,210.25,210.8,269386
2015-02-02 10:00:00,210.85,211.2,210.65,210.8,138746
2015-02-02 10:15:00,210.8,210.9,210.5,210.65,116497
2015-02-02 10:30:00,210.65,210.65,209.7,209.95,294627
2015-02-02 10:45:00,209.95,210.35,209.65,209.9,189105
2015-02-02 11:00:00,209.9,210.1,209.7,209.85,98619
2015-02-02 11:15:00,209.85,209.9,209.5,209.7,143684
2015-02-02 11:30:00,209.65,209.7,208.5,208.65,294321
2015-02-02 11:45:00,208.65,209.2,208.55,208.85,171045
2015-02-02 12:00:00,208.85,209.2,208.5,209.1,170142
2015-02-02 12:15:00,209.1,209.1,207.75,208.05,571045
2015-02-02 12:30:00,208.05,208.85,208.0,208.1,450606
2015-02-02 12:45:00,208.15,208.25,207.75,207.9,299295
2015-02-02 13:00:00,207.9,209.15,207.9,208.5,335983
2015-02-02 13:15:00,208.4,208.6,207.95,208.4,421045
2015-02-02 13:30:00,208.2,209.6,208.0,209.15,1152049
2015-02-02 13:45:00,209.2,209.6,208.1,208.2,559359
2015-02-02 14:00:00,208.15,209.05,208.15,208.6,355384
2015-02-02 14:15:00,208.6,208.75,208.25,208.25,458179
2015-02-02 14:30:00,208.25,208.55,208.0,208.1,404520
2015-02-02 14:45:00,208.15,208.15,207.6,207.7,387311
2015-02-02 15:00:00,207.7,208.2,207.7,208.0,718962
2015-02-02 15:15:00,208.0,208.45,207.25,208.05,731032
2015-02-03 09:15:00,208.55,209.9,208.55,209.85,730439
2015-02-03 09:30:00,209.85,210.15,209.7,209.75,293537
2015-02-03 09:45:00,209.75,209.9,209.65,209.8,213960
2015-02-03 10:00:00,209.8,210.35,209.75,210.05,213980
2015-02-03 10:15:00,210.05,210.35,209.8,210.1,184618
2015-02-03 10:30:00,210.1,210.35,209.95,210.15,129797
2015-02-03 10:45:00,210.15,210.6,210.0,210.6,248956
2015-02-03 11:00:00,210.65,211.05,209.45,210.8,1300605
2015-02-03 11:15:00,210.85,211.05,210.25,210.95,205493
2015-02-03 11:30:00,210.9,210.9,210.15,210.25,228262
2015-02-03 11:45:00,210.25,210.3,208.9,208.95,266502
2015-02-03 12:00:00,208.9,209.45,208.6,209.2,185430
2015-02-03 12:15:00,209.2,210.3,209.05,210.25,292811
2015-02-03 12:30:00,210.3,210.45,209.5,210.45,200925
2015-02-03 12:45:00,210.45,210.45,209.8,210.1,184969
2015-02-03 13:00:00,210.1,210.3,209.35,209.55,125642
2015-02-03 13:15:00,209.55,209.9,209.5,209.8,124096
2015-02-03 13:30:00,209.8,210.3,209.5,210.25,115105
2015-02-03 13:45:00,210.25,211.3,210.1,210.85,337025
2015-02-03 14:00:00,210.85,211.6,210.45,210.45,252073
2015-02-03 14:15:00,210.45,211.0,210.45,210.85,122162
2015-02-03 14:30:00,210.9,211.0,210.4,210.75,216610
2015-02-03 14:45:00,210.75,211.45,210.7,211.25,144621
