date,open,high,low,close,volume
2015-02-02 09:15:00,53.23,53.37,52.73,52.93,319662
2015-02-02 09:30:00,52.93,53.43,52.87,53.1,340419
2015-02-02 09:45:00,53.07,53.53,53.07,53.47,290524
2015-02-02 10:00:00,53.47,53.47,53.3,53.4,282574
2015-02-02 10:15:00,53.4,53.4,53.23,53.33,236834
2015-02-02 10:30:00,53.33,53.43,53.27,53.3,218715
2015-02-02 10:45:00,53.3,53.37,53.1,53.3,229202
2015-02-02 11:00:00,53.3,53.37,53.2,53.27,196228
2015-02-02 11:15:00,53.27,53.33,52.83,52.83,231741
2015-02-02 11:30:00,52.83,53.0,52.83,52.9,202276
2015-02-02 11:45:00,52.9,52.9,52.7,52.77,238052
2015-02-02 12:00:00,52.77,52.8,52.57,52.57,294122
2015-02-02 12:15:00,52.57,52.57,52.37,52.53,393735
2015-02-02 12:30:00,52.57,52.63,52.4,52.43,232216
2015-02-02 12:45:00,52.43,52.47,52.3,52.43,260730
2015-02-02 13:00:00,52.37,52.43,52.27,52.27,194643
2015-02-02 13:15:00,52.27,52.43,52.27,52.4,194175
2015-02-02 13:30:00,52.4,52.57,52.3,52.4,377682
2015-02-02 13:45:00,52.47,52.5,52.33,52.43,285424
2015-02-02 14:00:00,52.43,52.8,52.43,52.7,284348
2015-02-02 14:15:00,52.67,52.67,52.43,52.53,215319
2015-02-02 14:30:00,52.53,52.53,52.3,52.33,216411
2015-02-02 14:45:00,52.3,52.5,52.27,52.4,282675
2015-02-02 15:00:00,52.4,52.73,52.4,52.63,457438
2015-02-02 15:15:00,52.63,52.77,52.53,52.53,538317
2015-02-03 09:15:00,52.9,53.3,52.8,53.3,335109
2015-02-03 09:30:00,53.3,53.5,53.13,53.2,278480
2015-02-03 09:45:00,53.13,53.33,53.03,53.03,134558
2015-02-03 10:00:00,53.03,53.3,53.03,53.2,146108
2015-02-03 10:15:00,53.2,53.3,53.17,53.23,55368
2015-02-03 10:30:00,53.23,53.43,53.1,53.4,155402
2015-02-03 10:45:00,53.4,53.47,53.27,53.3,58053
2015-02-03 11:00:00,53.27,53.33,53.03,53.33,113594
2015-02-03 11:15:00,53.37,54.07,53.33,53.77,1001384
2015-02-03 11:30:00,53.77,53.97,53.67,53.67,302712
2015-02-03 11:45:00,53.67,53.7,53.03,53.1,370233
2015-02-03 12:00:00,53.1,53.4,53.1,53.1,256978
2015-02-03 12:15:00,53.13,53.37,53.1,53.37,201102
2015-02-03 12:30:00,53.37,53.37,53.27,53.3,153651
2015-02-03 12:45:00,53.3,53.33,53.1,53.17,265360
2015-02-03 13:00:00,53.17,53.17,52.83,53.03,503172
2015-02-03 13:15:00,53.0,53.1,52.83,52.87,273940
2015-02-03 13:30:00,52.87,53.03,52.83,53.03,302110
2015-02-03 13:45:00,53.03,53.07,52.83,52.9,325011
2015-02-03 14:00:00,52.9,53.13,52.8,53.03,2166474
2015-02-03 14:15:00,53.03,53.1,52.8,52.9,300002
2015-02-03 14:30:00,52.9,53.13,52.87,53.03,137037
2015-02-03 14:45:00,53.03,53.07,52.9,52.97,109364
2015-02-03 15:00:00,52.97,53.0,52.83,52.87,347976
2015-02-03 15:15:00,52.87,52.9,52.3,52.57,743508
2015-02-04 09:15:00,52.8,53.37,52.23,52.23,880910
2015-02-04 09:30:00,52.23,52.47,52.23,52.27,532350
2015-02-04 09:45:00,52.27,52.4,52.0,52.13,425106
2015-02-04 10:00:00,52.13,52.27,52.0,52.07,470745
