date,open,high,low,close,volume
2015-02-02 09:15:00,224.4,225.8,221.45,222.25,547778
2015-02-02 09:30:00,222.4,222.5,221.75,222.25,193770
2015-02-02 09:45:00,222.25,222.95,221.95,222.7,141410
2015-02-02 10:00:00,222.7,222.75,222.0,222.4,87949
2015-02-02 10:15:00,222.45,223.05,221.9,222.15,75626
2015-02-02 10:30:00,222.25,222.55,221.9,222.3,110205
2015-02-02 10:45:00,222.3,222.7,221.75,221.8,121418
2015-02-02 11:00:00,221.85,222.25,221.2,221.35,70344
2015-02-02 11:15:00,221.5,222.25,221.2,222.05,65432
2015-02-02 11:30:00,222.05,222.25,221.9,222.15,35139
2015-02-02 11:45:00,222.15,222.25,220.7,220.8,127073
2015-02-02 12:00:00,220.85,222.0,220.7,221.65,101260
2015-02-02 12:15:00,221.7,221.95,220.9,221.25,105447
2015-02-02 12:30:00,221.15,221.95,221.15,221.55,92695
2015-02-02 12:45:00,221.65,221.65,220.95,221.0,100114
2015-02-02 13:00:00,221.0,221.15,220.85,221.1,63015
2015-02-02 13:15:00,221.1,221.25,220.85,221.15,74009
2015-02-02 13:30:00,221.2,222.4,221.0,222.2,298129
2015-02-02 13:45:00,222.35,222.4,221.55,221.9,118032
2015-02-02 14:00:00,221.9,222.35,221.2,221.75,118583
2015-02-02 14:15:00,221.95,222.15,221.3,221.35,97693
2015-02-02 14:30:00,221.35,221.7,220.65,221.1,131814
2015-02-02 14:45:00,221.1,221.6,220.5,221.45,185580
2015-02-02 15:00:00,221.45,221.6,220.7,221.2,330163
2015-02-02 15:15:00,221.2,221.3,220.3,220.45,308971
2015-02-03 09:15:00,222.8,224.25,222.4,223.9,441426
2015-02-03 09:30:00,224.0,224.05,222.85,223.45,480699
2015-02-03 09:45:00,223.45,224.4,223.05,224.4,227136
2015-02-03 10:00:00,224.5,226.1,224.3,225.55,739383
2015-02-03 10:15:00,225.55,225.7,224.95,225.6,248947
2015-02-03 10:30:00,225.6,225.9,225.55,225.8,129350
2015-02-03 10:45:00,225.85,227.7,225.6,227.1,721750
2015-02-03 11:00:00,227.15,227.3,225.85,226.95,415343
2015-02-03 11:15:00,226.9,227.0,225.8,226.55,157896
2015-02-03 11:30:00,226.6,227.1,226.2,226.55,154118
2015-02-03 11:45:00,226.55,226.65,225.0,225.15,211907
2015-02-03 12:00:00,225.15,226.55,225.1,225.15,120528
2015-02-03 12:15:00,225.2,225.2,224.4,224.7,269933
2015-02-03 12:30:00,224.7,226.0,224.7,225.8,157792
2015-02-03 12:45:00,225.8,225.8,225.15,225.4,120370
2015-02-03 13:00:00,225.4,225.55,224.65,224.85,134349
2015-02-03 13:15:00,224.85,226.2,224.4,226.05,265475
2015-02-03 13:30:00,226.05,227.25,225.9,227.15,216519
2015-02-03 13:45:00,227.15,228.0,226.8,227.05,290647
2015-02-03 14:00:00,227.1,228.1,226.8,227.5,219881
2015-02-03 14:15:00,227.5,228.1,226.8,226.95,210442
2015-02-03 14:30:00,226.95,227.15,225.9,226.45,229368
2015-02-03 14:45:00,226.35,228.05,226.25,227.45,310724
2015-02-03 15:00:00,227.6,227.9,226.9,227.25,545265
2015-02-03 15:15:00,227.2,227.4,226.2,226.95,586068
2015-02-04 09:15:00,231.55,235.95,231.55,232.7,2673757
2015-02-04 09:30:00,232.6,234.35,232.6,233.4,574959
2015-02-04 09:45:00,233.35,233.75,233.15,233.35,297940
2015-02-04 10:00:00,233.45,233.6,232.25,232.8,314831
2015-02-04 10:15:00,232.75,233.0,230.6,232.25,575350
2015-02-04 10:30:00,232.25,232.75,231.3,231.5,339369
2015-02-04 10:45:00,231.5,232.75,231.2,231.4,269251
2015-02-04 11:00:00,231.4,231.85,230.7,231.35,231108
2015-02-04 11:15:00,231.4,231.7,230.75,231.25,206900
2015-02-04 11:30:00,231.25,231.5,228.95,230.95,406083
2015-02-04 11:45:00,231.05,232.75,230.6,232.6,463396
2015-02-04 12:00:00,232.65,232.9,231.55,231.95,241998
2015-02-04 12:15:00,231.95,233.45,231.85,233.15,559330
2015-02-04 12:30:00,233.15,234.25,232.85,234.25,543078
2015-02-04 12:45:00,234.25,235.35,233.3,233.9,800358
2015-02-04 13:00:00,233.95,234.05,233.3,233.5,276865
2015-02-04 13:15:00,233.6,234.0,232.7,233.45,288227
2015-02-04 13:30:00,233.45,234.0,233.2,233.45,278378
2015-02-04 13:45:00,233.45,233.6,232.7,233.3,262647
2015-02-04 14:00:00,233.4,233.6,232.25,232.55,305256
2015-02-04 14:15:00,232.55,233.75,232.45,233.55,385110
2015-02-04 14:30:00,233.55,233.9,232.85,233.45,341153
2015-02-04 14:45:00,233.45,233.95,232.85,232.95,344899
2015-02-04 15:00:00,232.85,233.45,232.75,233.2,476875
2015-02-04 15:15:00,233.3,233.4,231.85,232.5,888898
2015-02-05 09:15:00,232.1,232.1,229.65,229.85,316885
2015-02-05 09:30:00,229.85,229.95,227.75,227.9,231906
2015-02-05 09:45:00,227.9,228.9,227.8,228.45,174531
2015-02-05 10:00:00,228.45,228.7,227.9,228.5,117323
2015-02-05 10:15:00,228.5,228.85,228.1,228.25,105326
2015-02-05 10:30:00,228.25,228.55,228.1,228.25,46466
2015-02-05 10:45:00,228.25,228.5,227.45,227.7,102863
2015-02-05 11:00:00,227.9,228.1,227.0,227.1,103418
2015-02-05 11:15:00,227.05,227.2,226.65,226.8,137823
2015-02-05 11:30:00,226.8,226.9,226.2,226.6,159406
2015-02-05 11:45:00,226.4,226.8,225.85,225.9,117831
2015-02-05 12:00:00,225.85,226.1,225.3,225.4,109554
2015-02-05 12:15:00,225.35,225.75,225.35,225.4,103018
2015-02-05 12:30:00,225.3,226.25,225.3,225.45,155621
2015-02-05 12:45:00,225.45,225.8,225.0,225.1,84596
2015-02-05 13:00:00,225.1,226.35,225.1,226.3,106728
2015-02-05 13:15:00,226.35,227.5,225.9,226.55,276266
2015-02-05 13:30:00,226.45,227.1,226.35,227.0,89062
2015-02-05 13:45:00,226.9,227.3,226.55,227.25,59425
2015-02-05 14:00:00,227.25,228.2,226.95,227.35,176040
2015-02-05 14:15:00,227.35,227.35,227.15,227.15,63168
2015-02-05 14:30:00,227.15,227.45,225.75,226.2,110694
2015-02-05 14:45:00,226.2,227.1,224.85,225.9,199612
2015-02-05 15:00:00,225.9,226.55,224.7,225.55,351583
2015-02-05 15:15:00,225.7,225.85,223.65,224.85,438358
2015-02-06 09:15:00,227.7,228.25,224.65,224.65,521663
2015-02-06 09:30:00,224.95,225.7,224.35,224.85,220467
2015-02-06 09:45:00,224.85,225.05,224.35,224.5,122621
2015-02-06 10:00:00,224.5,224.85,224.35,224.7,99237
2015-02-06 10:15:00,224.7,226.1,224.15,225.9,226585
2015-02-06 10:30:00,225.9,226.0,225.1,225.65,146376
2015-02-06 10:45:00,225.65,226.05,225.15,225.3,146465
2015-02-06 11:00:00,225.3,225.55,224.8,225.35,140167
2015-02-06 11:15:00,225.3,226.05,224.3,224.4,128832
2015-02-06 11:30:00,224.4,224.85,223.7,224.6,287696
2015-02-06 11:45:00,224.6,224.7,223.35,223.65,232716
2015-02-06 12:00:00,223.65,225.4,223.5,224.05,265947
2015-02-06 12:15:00,224.2,224.85,223.85,224.4,188627
2015-02-06 12:30:00,224.4,224.55,223.25,223.3,177262
2015-02-06 12:45:00,223.3,223.95,223.25,223.5,141912
2015-02-06 13:00:00,223.55,223.6,221.6,221.95,332272
2015-02-06 13:15:00,221.95,222.55,221.45,222.15,184946
2015-02-06 13:30:00,222.15,222.35,221.5,221.55,137164
2015-02-06 13:45:00,221.55,223.2,220.65,222.6,621232
2015-02-06 14:00:00,222.6,222.95,220.75,221.0,227403
2015-02-06 14:15:00,221.0,221.0,219.75,220.25,341963
2015-02-06 14:30:00,220.25,220.95,219.85,220.8,158040
2015-02-06 14:45:00,220.8,222.05,220.7,222.0,229292
2015-02-06 15:00:00,222.0,222.05,221.35,221.95,220432
2015-02-06 15:15:00,221.95,222.2,220.95,221.6,325471
2015-02-09 09:15:00,221.2,224.6,220.55,224.05,344178
2015-02-09 09:30:00,223.95,224.6,223.85,224.25,291650
