date,open,high,low,close,volume
2015-02-02 09:15:00,80.1,80.1,78.95,79.15,109536
2015-02-02 09:30:00,79.15,79.35,78.95,79.0,34529
2015-02-02 09:45:00,79.0,79.0,78.75,78.85,58597
2015-02-02 10:00:00,78.85,79.0,78.7,78.7,32823
2015-02-02 10:15:00,78.75,78.95,78.55,78.65,55508
2015-02-02 10:30:00,78.65,78.85,78.55,78.75,41321
2015-02-02 10:45:00,78.85,79.05,78.7,78.8,59673
2015-02-02 11:00:00,78.8,79.0,78.75,78.75,26356
2015-02-02 11:15:00,78.75,78.95,78.75,78.85,38860
2015-02-02 11:30:00,78.85,79.0,78.8,78.85,42644
2015-02-02 11:45:00,78.85,78.95,78.8,78.85,52477
2015-02-02 12:00:00,78.85,78.9,78.8,78.85,56091
2015-02-02 12:15:00,78.85,79.0,78.85,78.85,54936
2015-02-02 12:30:00,78.85,79.2,78.85,78.85,109971
2015-02-02 12:45:00,78.85,79.1,78.55,78.75,195548
2015-02-02 13:00:00,78.7,79.1,78.7,79.0,103465
2015-02-02 13:15:00,79.0,79.3,78.9,79.25,93393
2015-02-02 13:30:00,79.25,79.9,79.25,79.8,127600
2015-02-02 13:45:00,79.8,79.95,79.25,79.3,120060
2015-02-02 14:00:00,79.25,79.7,79.1,79.3,96252
2015-02-02 14:15:00,79.3,79.5,79.0,79.15,143013
2015-02-02 14:30:00,79.15,79.25,78.85,79.0,108057
2015-02-02 14:45:00,79.0,79.65,78.9,79.35,132671
2015-02-02 15:00:00,79.35,79.9,79.3,79.6,250396
2015-02-02 15:15:00,79.45,79.8,79.4,79.45,282129
2015-02-03 09:15:00,80.0,80.5,79.55,80.2,75265
2015-02-03 09:30:00,80.2,80.2,79.95,80.1,34096
2015-02-03 09:45:00,80.1,80.15,79.5,79.5,139311
2015-02-03 10:00:00,79.5,79.8,79.45,79.55,17320
2015-02-03 10:15:00,79.55,79.65,79.45,79.5,38359
2015-02-03 10:30:00,79.55,79.7,79.45,79.6,14591
2015-02-03 10:45:00,79.6,79.8,79.45,79.8,24911
2015-02-03 11:00:00,79.75,80.05,79.35,79.65,72775
2015-02-03 11:15:00,79.7,79.95,79.6,79.75,52560
2015-02-03 11:30:00,79.75,79.9,79.6,79.7,59245
2015-02-03 11:45:00,79.7,79.9,79.05,79.15,68700
2015-02-03 12:00:00,79.15,79.25,79.0,79.15,19661
2015-02-03 12:15:00,79.15,79.25,79.0,79.15,23448
2015-02-03 12:30:00,79.15,79.45,79.1,79.45,26347
2015-02-03 12:45:00,79.35,79.45,79.15,79.15,27643
2015-02-03 13:00:00,79.15,79.2,79.1,79.1,20848
2015-02-03 13:15:00,79.1,79.2,78.85,79.0,89684
2015-02-03 13:30:00,78.9,79.4,78.9,79.35,55604
2015-02-03 13:45:00,79.3,79.65,79.2,79.6,59276
2015-02-03 14:00:00,79.6,79.8,79.55,79.65,60091
2015-02-03 14:15:00,79.6,79.8,79.55,79.75,50856
2015-02-03 14:30:00,79.7,79.75,79.4,79.45,29532
2015-02-03 14:45:00,79.45,79.55,79.25,79.3,31352
2015-02-03 15:00:00,79.3,79.4,79.15,79.2,57741
2015-02-03 15:15:00,79.25,79.3,79.0,79.2,150331
2015-02-04 09:15:00,79.45,80.35,79.45,80.05,89149
2015-02-04 09:30:00,80.05,80.2,79.7,79.75,43135
2015-02-04 09:45:00,79.75,80.1,79.45,79.8,98915
2015-02-04 10:00:00,79.8,79.85,79.55,79.55,36155
2015-02-04 10:15:00,79.55,79.95,79.55,79.9,40681
2015-02-04 10:30:00,79.9,80.35,79.6,79.95,258740
2015-02-04 10:45:00,79.95,80.15,79.6,79.65,65279
2015-02-04 11:00:00,79.65,79.7,79.0,79.0,97973
2015-02-04 11:15:00,79.15,79.3,78.9,79.15,68685
2015-02-04 11:30:00,79.15,79.4,79.15,79.2,74333
2015-02-04 11:45:00,79.2,79.3,79.15,79.2,106705
2015-02-04 12:00:00,79.15,79.2,78.85,78.85,54836
2015-02-04 12:15:00,78.95,79.15,78.85,79.0,28545
2015-02-04 12:30:00,79.0,79.05,78.9,79.05,26936
2015-02-04 12:45:00,79.05,79.1,78.85,79.0,41835
2015-02-04 13:00:00,79.0,79.15,78.9,78.95,35901
2015-02-04 13:15:00,79.0,79.0,78.9,79.0,43799
2015-02-04 13:30:00,79.0,79.0,78.85,78.85,18185
2015-02-04 13:45:00,79.0,79.1,78.85,79.05,48652
2015-02-04 14:00:00,79.0,79.2,79.0,79.15,23364
2015-02-04 14:15:00,79.15,79.45,79.15,79.3,101916
2015-02-04 14:30:00,79.3,79.45,79.15,79.15,33683
2015-02-04 14:45:00,79.15,79.4,78.8,78.85,87417
2015-02-04 15:00:00,78.9,79.0,78.6,78.7,100793
2015-02-04 15:15:00,78.7,79.0,78.55,78.7,113548
2015-02-05 09:15:00,78.65,78.7,78.05,78.3,128668
2015-02-05 09:30:00,78.3,78.55,78.15,78.2,46783
2015-02-05 09:45:00,78.2,78.2,77.75,77.85,117093
2015-02-05 10:00:00,77.95,78.1,77.8,77.95,124472
2015-02-05 10:15:00,77.95,78.25,77.95,78.25,67219
2015-02-05 10:30:00,78.2,78.3,77.9,78.1,81344
2015-02-05 10:45:00,78.1,78.55,78.1,78.25,81689
2015-02-05 11:00:00,78.2,78.4,78.15,78.3,90868
2015-02-05 11:15:00,78.3,78.55,78.25,78.55,133081
2015-02-05 11:30:00,78.55,78.55,78.3,78.4,79509
2015-02-05 11:45:00,78.3,78.55,78.2,78.4,115677
2015-02-05 12:00:00,78.4,78.55,78.4,78.55,64305
2015-02-05 12:15:00,78.55,78.75,78.5,78.7,101773
2015-02-05 12:30:00,78.7,78.75,78.55,78.75,84459
2015-02-05 12:45:00,78.75,78.8,78.65,78.75,68539
2015-02-05 13:00:00,78.7,78.75,78.5,78.7,73377
2015-02-05 13:15:00,78.7,78.85,78.4,78.7,91447
2015-02-05 13:30:00,78.75,78.8,78.55,78.75,76700
2015-02-05 13:45:00,78.8,78.8,78.55,78.7,49568
2015-02-05 14:00:00,78.7,79.1,78.7,79.0,98689
2015-02-05 14:15:00,79.0,79.0,78.75,78.95,31657
2015-02-05 14:30:00,78.95,79.0,78.25,78.4,72971
2015-02-05 14:45:00,78.45,78.55,78.0,78.1,64524
2015-02-05 15:00:00,78.1,78.1,76.95,77.1,158617
2015-02-05 15:15:00,77.1,77.45,76.9,76.9,350031
2015-02-06 09:15:00,76.6,76.9,76.3,76.6,106907
2015-02-06 09:30:00,76.7,77.05,76.45,76.7,64540
2015-02-06 09:45:00,76.7,76.8,76.5,76.7,23668
2015-02-06 10:00:00,76.7,76.7,76.6,76.65,19951
2015-02-06 10:15:00,76.7,76.8,76.5,76.75,77079
2015-02-06 10:30:00,76.75,76.95,76.45,76.7,122189
2015-02-06 10:45:00,76.7,76.8,76.15,76.45,114201
2015-02-06 11:00:00,76.45,77.0,76.3,76.85,119079
2015-02-06 11:15:00,76.85,76.9,76.75,76.75,18020
2015-02-06 11:30:00,76.75,76.95,76.75,76.9,24851
2015-02-06 11:45:00,76.9,77.0,76.75,76.9,32116
2015-02-06 12:00:00,76.9,77.35,76.9,77.2,76568
2015-02-06 12:15:00,77.2,77.6,77.05,77.5,132857
2015-02-06 12:30:00,77.5,77.55,77.3,77.4,116455
2015-02-06 12:45:00,77.4,77.5,77.2,77.2,21451
2015-02-06 13:00:00,77.2,77.5,77.2,77.5,147660
2015-02-06 13:15:00,77.5,77.55,77.4,77.45,39641
2015-02-06 13:30:00,77.45,77.75,77.4,77.6,74599
2015-02-06 13:45:00,77.6,77.8,77.25,77.35,33417
2015-02-06 14:00:00,77.35,77.5,77.0,77.2,24093
2015-02-06 14:15:00,77.2,77.35,77.1,77.2,34667
2015-02-06 14:30:00,77.2,77.4,77.05,77.35,142048
2015-02-06 14:45:00,77.3,77.85,77.3,77.8,114348
2015-02-06 15:00:00,77.75,77.8,76.45,76.75,223584
2015-02-06 15:15:00,76.75,78.0,76.55,77.8,510403
2015-02-09 09:15:00,77.15,77.15,76.45,76.5,103788
2015-02-09 09:30:00,76.55,76.95,76.4,76.55,91332
2015-02-09 09:45:00,76.55,76.75,75.5,75.6,138319
2015-02-09 10:00:00,75.6,75.75,75.2,75.5,218785
2015-02-09 10:15:00,75.5,75.55,75.3,75.5,34119
2015-02-09 10:30:00,75.5,75.65,75.45,75.6,55547
2015-02-09 10:45:00,75.6,75.95,75.4,75.5,118807
2015-02-09 11:00:00,75.5,75.7,75.35,75.55,31133
2015-02-09 11:15:00,75.55,75.9,75.55,75.7,103837
2015-02-09 11:30:00,75.7,75.85,75.4,75.4,137684
2015-02-09 11:45:00,75.4,75.9,75.4,75.7,43919
2015-02-09 12:00:00,75.7,75.8,75.6,75.6,13975
2015-02-09 12:15:00,75.6,75.65,75.5,75.6,23709
2015-02-09 12:30:00,75.6,75.6,75.5,75.6,8889
2015-02-09 12:45:00,75.6,75.9,75.5,75.85,70268
2015-02-09 13:00:00,75.85,75.9,75.7,75.8,42491
2015-02-09 13:15:00,75.85,75.9,75.75,75.85,31705
2015-02-09 13:30:00,75.85,75.95,75.7,75.85,105901
2015-02-09 13:45:00,75.85,75.9,75.75,75.85,61785
2015-02-09 14:00:00,75.85,75.95,75.75,75.95,38477
2015-02-09 14:15:00,75.95,76.05,75.85,75.95,72653
2015-02-09 14:30:00,75.95,75.95,75.7,75.95,95680
2015-02-09 14:45:00,75.95,76.25,75.85,76.0,90299
2015-02-09 15:00:00,76.0,76.15,75.65,75.85,425505
2015-02-09 15:15:00,75.85,76.35,75.85,76.15,345757
2015-02-10 09:15:00,75.45,76.3,75.3,75.8,158660
2015-02-10 09:30:00,75.8,76.0,75.25,75.9,122003
2015-02-10 09:45:00,75.9,76.3,75.85,76.15,54461
2015-02-10 10:00:00,76.15,76.3,76.0,76.2,126949
2015-02-10 10:15:00,76.15,76.25,76.05,76.15,31952
2015-02-10 10:30:00,76.15,76.55,76.05,76.4,57684
2015-02-10 10:45:00,76.4,76.5,76.15,76.2,50367
2015-02-10 11:00:00,76.2,76.6,76.2,76.6,92451
2015-02-10 11:15:00,76.5,77.05,76.5,77.0,201323
2015-02-10 11:30:00,77.0,77.35,76.9,77.2,234576
2015-02-10 11:45:00,77.2,77.4,77.05,77.4,160648
2015-02-10 12:00:00,77.4,77.95,77.35,77.75,271520
2015-02-10 12:15:00,77.85,78.15,77.65,78.1,321305
2015-02-10 12:30:00,78.1,78.5,77.85,78.5,576395
2015-02-10 12:45:00,78.55,78.7,78.4,78.55,157225
2015-02-10 13:00:00,78.55,78.65,78.4,78.5,75339
2015-02-10 13:15:00,78.55,78.65,78.1,78.3,138711
2015-02-10 13:30:00,78.3,78.35,78.1,78.2,109300
2015-02-10 13:45:00,78.2,78.4,77.65,77.65,166992
2015-02-10 14:00:00,77.75,77.85,77.55,77.8,312211
2015-02-10 14:15:00,77.9,78.0,77.5,77.65,98608
2015-02-10 14:30:00,77.65,78.35,77.65,78.15,118641
2015-02-10 14:45:00,78.15,78.5,78.1,78.25,92112
2015-02-10 15:00:00,78.2,78.4,77.95,78.1,90331
2015-02-10 15:15:00,78.0,78.4,77.65,78.35,157345
2015-02-11 09:15:00,78.65,79.15,78.25,79.1,302529
2015-02-11 09:30:00,79.1,79.2,78.65,79.0,136625
2015-02-11 09:45:00,79.0,79.4,78.9,79.35,218897
2015-02-11 10:00:00,79.35,79.65,79.3,79.5,212004
2015-02-11 10:15:00,79.55,79.95,79.55,79.75,132245
2015-02-11 10:30:00,79.7,80.0,79.6,79.7,138240
2015-02-11 10:45:00,79.7,80.2,79.45,80.1,355589
2015-02-11 11:00:00,80.1,80.1,79.7,79.7,187816
2015-02-11 11:15:00,79.75,79.85,79.55,79.65,115579
2015-02-11 11:30:00,79.65,79.7,79.6,79.65,106841
2015-02-11 11:45:00,79.65,79.7,79.55,79.55,37791
2015-02-11 12:00:00,79.55,79.7,79.45,79.65,40939
2015-02-11 12:15:00,79.65,79.7,79.6,79.65,131397
2015-02-11 12:30:00,79.65,79.7,79.55,79.65,112487
2015-02-11 12:45:00,79.65,79.7,79.6,79.65,81388
2015-02-11 13:00:00,79.65,79.8,79.45,79.65,309444
2015-02-11 13:15:00,79.55,79.7,79.45,79.45,250576
2015-02-11 13:30:00,79.55,79.55,79.45,79.45,66235
2015-02-11 13:45:00,79.45,79.65,79.45,79.6,78887
2015-02-11 14:00:00,79.55,79.6,79.45,79.45,116527
